SUBID,TCK,noise_T01,noise_T02
07CAMINO6124,LKN27,144.29,147.455
07CAMINO6124,LKN28,146.58,146.89
07CAMINO6124,LKN29,144.588,147.841
07CAMINO6124,LKN30,146.798,147.169
07CAMINO6124,LKN31,147.952,152.453
07CAMINO6124,LKN32,146.701,150.768
07CAMINO6124,LKN33,143.75,148.943
07CAMINO6124,LKN34,140.732,143.298
07CAMINO6124,LKN35,149.974,152.229
07CAMINO6124,LKN36,148.566,150.756
07CAMINO6124,LKN37,145.334,150.321
07CAMINO6124,LKN38,144.494,148.897
07CAMINO6124,LKN39,150.67,154.221
07CAMINO6124,LKN40,149.85,151.414
07CAMINO6124,LKN41,155.547,152.748
07CAMINO6124,LKN42,155.77,154.941
07CAMINO6124,LKN43,133.231,136.886
07CAMINO6124,LKN44,135.387,135.975
07CAMINO6124,LKN45,130.697,133.522
07CAMINO6124,LKN46,131.61,132.149
07CAMINO6124,LKN47,132.219,136.577
07CAMINO6124,LKN48,135.355,134.95
26CAMINO3920,LKN27,144.18,142.8
26CAMINO3920,LKN28,145.417,142.199
26CAMINO3920,LKN29,144.143,141.984
26CAMINO3920,LKN30,145.214,141.72
26CAMINO3920,LKN31,152.568,148.724
26CAMINO3920,LKN32,149.457,148.363
26CAMINO3920,LKN33,148.292,149.248
26CAMINO3920,LKN34,147.346,148.825
26CAMINO3920,LKN35,149.742,151.645
26CAMINO3920,LKN36,145.1,148.853
26CAMINO3920,LKN37,147.394,151.379
26CAMINO3920,LKN38,143.243,148.201
26CAMINO3920,LKN39,144.502,152.907
26CAMINO3920,LKN40,144.366,151.117
26CAMINO3920,LKN41,146.454,155.764
26CAMINO3920,LKN42,147.248,156.03
26CAMINO3920,LKN43,132.4,135.193
26CAMINO3920,LKN44,133.621,136.312
26CAMINO3920,LKN45,128.153,132.058
26CAMINO3920,LKN46,128.809,134.134
26CAMINO3920,LKN47,129.164,134.692
26CAMINO3920,LKN48,132.362,138.664
41TPEF4693,LKN27,142.618,130.116
41TPEF4693,LKN28,143.358,136.256
41TPEF4693,LKN29,142.456,130.313
41TPEF4693,LKN30,143.396,135.897
41TPEF4693,LKN31,159.448,153.754
41TPEF4693,LKN32,158.533,150.447
